"VendorNumber,VendorName_x,total_purchase_qty,total_purchase_cost,avg_unit_cost,total_freight,freight_ratio,VendorName_y,total_sales_qty,total_sales_revenue,avg_sales_price,gross_profit,sales_to_cost_ratio,gross_margin_pct"
"8735,SURVILLE ENTERPRISES CORP  ,1003,8248.46,9.226315789473684,66.34,0.00804271342771863,SURVILLE ENTERPRISES CORP  ,756.0,9280.44,13.120484988452656,1031.9800000000014,1.1251118390584427,11.119946899069454"
"8892,TRINCHERO FAMILY ESTATES   ,52879,336522.04,6.159386613386613,1970.55,0.005855634299613779,TRINCHERO FAMILY ESTATES   ,34757.0,349400.27,10.344980354311712,12878.23000000004,1.0382686079045522,3.6858099737587606"
"8920,TAKARA SAKE USA INC        ,1459,7367.7699999999995,6.59827868852459,34.16,0.0046364096599106645,TAKARA SAKE USA INC        ,934.0,6569.66,6.955517241379311,-798.1099999999997,0.8916755001852664,-12.148421683922756"
"9165,ULTRA BEVERAGE COMPANY LLP ,161168,1968428.7,16.11768653770233,12276.880000000001,0.006236893416561139,ULTRA BEVERAGE COMPANY LLP ,105614.0,1793856.74,19.104555325047986,-174571.95999999996,0.9113140547076966,-9.731655605898606"
"9206,PHILLIPS PRODUCTS CO.      ,6032,66977.38,12.778770270270272,521.62,0.007788002456948898,PHILLIPS PRODUCTS CO.      ,4461.0,59434.39,15.34560612329334,-7542.990000000005,0.8873800378575573,-12.691288663011441"
"9260,TY KU LLC                  ,698,9532.02,13.24925925925926,17.87,0.0018747337919979186,TY KU LLC                  ,260.0,4545.9,17.846020942408376,-4986.120000000001,0.4769083573051672,-109.68389097868412"
"9552,M S WALKER INC             ,208395,1652943.44,8.65962541963602,16070.2,0.009722171739887242,M S WALKER INC             ,134418.0,1557527.18,12.621049808026086,-95416.26000000001,0.9422749395466308,-6.12613771529817"
"9622,WEIN BAUER INC             ,343,5084.34,17.262978723404252,93.14999999999999,0.018320962012768616,WEIN BAUER INC             ,272.0,5420.679999999999,23.166315789473682,336.33999999999924,1.066152145607886,6.204756598803089"
"9625,WESTERN SPIRITS BEVERAGE CO,8604,54043.98,12.994768683274023,579.64,0.010725338881407327,WESTERN SPIRITS BEVERAGE CO,4928.0,44260.22,13.748669354838709,-9783.760000000002,0.8189667008240326,-22.10508668958266"
"9744,FREDERICK WILDMAN & SONS   ,11265,115453.5,10.693565976008724,752.79,0.006520287388429108,FREDERICK WILDMAN & SONS   ,6765.0,111750.37,17.33847256015139,-3703.1300000000047,0.9679253552295946,-3.3137518918281925"
"9751,VINEDREA WINES LLC         ,45,1022.4,22.72,6.16,0.006025039123630673,VINEDREA WINES LLC         ,49.0,1279.51,26.400256410256407,257.11,1.251476917057903,20.09441114176521"
"9815,WINE GROUP INC             ,130757,777999.26,7.1985457299753834,6727.21,0.008646807710331241,WINE GROUP INC             ,86057.0,829397.33,10.548075299958628,51398.06999999995,1.0660644201641014,6.197038275973224"
